category,title,packsize,price,price_per_unit,image
super-savers/,Berg Brazilian Style Sausages 300g,300g,3.69,$12.30 per kg,https://www.aldi.com.au/fileadmin/_processed_/a/4/csm_W09_SUPER_SAVERS_MEAT_1x1__2e071d5b0e.jpg
super-savers/,Huon Fresh Tasmanian Ocean Trout Skin On 460g,460g,11.99,$26.07 per kg,https://www.aldi.com.au/fileadmin/_processed_/7/a/csm_W09_SUPER_SAVERS_MEAT_1x1_2_31cce09c38.jpg
health/,Dentitex Advanced Whitening Toothpaste,140g,1.79,$1.28 per 100g,https://www.aldi.com.au/fileadmin/_processed_/9/3/csm_ALN2364-7_HEALTH_1x1_228x128__d9c1a69508.jpg
health/,Dentitex Sensitive Plus Whitening Toothpaste,N/A,4.49,$4.08 per 100g,https://www.aldi.com.au/fileadmin/_processed_/6/2/csm_ALN2364-7_HEALTH_1x1_228x128_5_684b45adc5.jpg
health/,Dentitex Interdental Pro Toothbrush 2pk,2pk,1.99,$1.00 per unit,https://www.aldi.com.au/fileadmin/_processed_/b/6/csm_ALN2853_HEALTH_1x1_228x128_4_5cb4d06f7a.jpg
health/,Dentitex Orbit Toothbrush 2pk,2pk,2.99,$1.50 per unit,https://www.aldi.com.au/fileadmin/_processed_/3/a/csm_ALN2364-7_HEALTH_1x1_228x128_3_e4b1c3337d.jpg
beauty/,LACURA Essentials BB Cream SPF 15 50ml,N/A,7.99,$15.98 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/7/d/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_6_2dac99110b.jpg
beauty/,LACURA Essentials Purify Exfoliating Wash 150ml,N/A,3.79,$2.53 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/7/d/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228__7337596be1.jpg
super-savers/,Ingham’s Chicken and Corn Schnitzel 1kg,1kg,8.99,$8.99 per kg,https://www.aldi.com.au/fileadmin/_processed_/f/2/csm_W09_SUPER_SAVERS_MEAT_1x1_3_e60a26ef24.jpg
super-savers/,KRC Pork Cordon Bleu 480g,480g,8.99,$18.73 per kg,https://www.aldi.com.au/fileadmin/_processed_/0/2/csm_W09_SUPER_SAVERS_MEAT_1x1_4_b1c3099204.jpg
super-savers/,"Ready, Set…Cook! Beef & Cheese Meatballs 420g",420g,4.99,$11.98 per kg,https://www.aldi.com.au/fileadmin/_processed_/b/e/csm_W09_SUPER_SAVERS_MEAT_1x1_5_4f11e0965c.jpg
super-savers/,Killarnee Lamb Rack per kg,per kg,19.99,$19.99 per kg,https://www.aldi.com.au/fileadmin/_processed_/1/2/csm_ALN3197_FEB_SSV_1x1_228x128_3_da46821e07.jpg
super-savers/,World Kitchen Pizza 510g,510g,3.99,78c per 100g,https://www.aldi.com.au/fileadmin/_processed_/3/2/csm_ALN3197_FEB_SSV_1x1_228x128_23_a22ed05b95.jpg
super-savers/,Berg Deli Ham Off the Bone Shaved 150g,150g,3.49,$23.27 per kg,https://www.aldi.com.au/fileadmin/_processed_/a/b/csm_ALN3197_FEB_SSV_1x1_228x128_6_d56289ba49.jpg
health/,Dentitex Mouthwash 1L,1L,4.19,42c per 100mL,https://www.aldi.com.au/fileadmin/_processed_/7/8/csm_ALN2853_HEALTH_1x1_228x128_5_90b70c5e97.jpg
health/,Dentitex Mouthwash 500ml,500ml,3.49,70c per ml,https://www.aldi.com.au/fileadmin/_processed_/2/1/csm_ALN3077_HEALTH_1x1_228x128_be3f781b52.jpg
health/,Essential Health Paw Paw Ointment,ea,2.79,$11.16 per 100g,https://www.aldi.com.au/fileadmin/_processed_/9/0/csm_ALN2364-7_HEALTH_1x1_228x128_6_678cce7213.jpg
health/,Green Action Eucalyptus Oil 100ml,100ml,6.99,$6.99 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/0/d/csm_ALN2853_HEALTH_1x1_228x128_2_52ddfb3258.jpg
health/,Hedafen Ibuprofen 24pk,24pk,1.49,6c per tablet,https://www.aldi.com.au/fileadmin/_processed_/e/e/csm_ALN2364-7_HEALTH_1x1_228x128_7_5e19cb1d8b.jpg
health/,Hedafen Ibuprofen Liquid Capsules 20pk,20pk,2.39,12c per capsule,https://www.aldi.com.au/fileadmin/_processed_/2/b/csm_ALN2364-7_HEALTH_1x1_228x128_8_d5b131d4a1.jpg
beauty/,LACURA Essentials Caring Cleansing Gel 150ml,N/A,3.79,$2.53 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/e/9/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_2_238ffd9714.jpg
beauty/,LACURA Essentials Fine Balance Foaming Cleansing Gel 150ml,N/A,3.79,$2.53 per 100ml,https://www.aldi.com.au/fileadmin/_processed_/1/6/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_3_41952414db.jpg
beauty/,LACURA Essentials Fine Balance Cleansing Wipes 30pk,30pk,1.69,6c per wipe,https://www.aldi.com.au/fileadmin/_processed_/8/5/csm_ALC7782_THE_BLOCK_1x1_228x128_46_14b472b3c8.jpg
beauty/,LACURA Essentials Caring Cleansing Wipes 30pk,N/A,1.69,6c per wipe,https://www.aldi.com.au/fileadmin/_processed_/d/8/csm_ALC7782_THE_BLOCK_1x1_228x128_47_c420f81809.jpg
beauty/,LACURA Essentials Make Up Rounds 80pk,N/A,1.3900000000000001,$1.74 per 100 rounds,https://www.aldi.com.au/fileadmin/_processed_/7/7/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_9_1dbf20698f.jpg
beauty/,LACURA Essentials Cotton Tips 240pk,N/A,99.0c,41c per 100 tips,https://www.aldi.com.au/fileadmin/_processed_/6/a/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_10_2945f8c10b.jpg
super-savers/,Berg Deli Ham Off the Bone 175g,175g,3.49,$19.94 per kg,https://www.aldi.com.au/fileadmin/_processed_/6/c/csm_ALN3197_FEB_SSV_1x1_228x128_5_56dda2a3e8.jpg
super-savers/,Berg Sliced Mild Hungarian Salami 4 x 80g,80g,4.99,$15.59 per kg,https://www.aldi.com.au/fileadmin/_processed_/0/6/csm_ALN3197_FEB_SSV_1x1_228x128_7_c98330d21d.jpg
